                                                 AS        AD       SAI
EscOx01B1_rough_SWIR.hdr                   0.870236  0.040070  1.117167
EscOx02B1_rough_SWIR.hdr                   0.891461  0.039310  1.155548
EscOx03B1_rough_SWIR.hdr                   0.908749  0.071730  1.166528
EscOx04B1_rough_SWIR.hdr                   0.884152  0.041253  1.157736
EscOx05B1_rough_SWIR.hdr                   0.799706  0.046017  1.104358
EscOx06B1_rough_SWIR.hdr                   0.961991  0.103900  1.291113
EscOx07B1_rough_SWIR.hdr                   0.871984  0.047964  1.114230
EscOx08B1_rough_SWIR.hdr                   0.896541  0.057693  1.191996
EscOx09B1_rough_SWIR.hdr                   0.769249  0.054220  1.176278
EscOx10B1_rough_SWIR.hdr                   0.883861  0.062068  1.175397
EscOx11B1_rough_SWIR.hdr                   0.807662  0.040641  1.104675
EscOx12B1_rough_SWIR.hdr                   0.920446  0.057670  1.219206
EscOx13B1_rough_SWIR.hdr                   0.855061  0.032817  1.102625
EscOx14B1_rough_SWIR.hdr                   0.938998  0.062771  1.223615
EscOx15B1_rough_SWIR.hdr                   0.857349  0.048301  1.220887
EscOx16B1_rough_SWIR.hdr                   0.829724  0.047930  1.126148
EscOx17B1_rough_SWIR.hdr                   0.745564  0.047324  1.119726
EscOx18B1_rough_SWIR.hdr                   0.957811  0.131898  1.285190
EscOx19B1_rough_SWIR.hdr                   0.909527  0.049674  1.163924
EscOx20B1_rough_SWIR.hdr                   0.804353  0.013659  1.056214
EscOx21B1_rough_SWIR.hdr                   0.785364  0.037467  1.061516
EscOx22B1_rough_SWIR.hdr                   0.880271  0.053966  1.154212
EscOx23B1_rough_SWIR.hdr                   0.947836  0.115014  1.305975
EscOx24B1_rough_SWIR.hdr                   0.966989  0.110670  1.243938
EscOx25B1_rough_SWIR.hdr                   0.919569  0.077643  1.196327
EscOx26B1_rough_SWIR.hdr                   0.935081  0.078120  1.189628
EscOx27B1_rough_SWIR.hdr                   0.854636  0.032036  1.135666
EscOx28B1_rough_SWIR.hdr                   0.887416  0.043295  1.108632
EscOx29B1_rough_SWIR.hdr                   0.936661  0.076835  1.314060
EscOx30B1_rough_SWIR.hdr                   0.658255  0.036466  1.093912
EscOx31B1_rough_SWIR.hdr                   0.911367  0.087197  1.214465
EscOx32B1_rough_SWIR.hdr                   0.897968  0.039383  1.203955
EscOx33B1_rough_SWIR.hdr                   0.965573  0.155275  1.362145
EscOx34B1_rough_SWIR.hdr                   0.946755  0.113208  1.272916
EscOx35B1_rough_SWIR.hdr                   0.818985  0.014163  1.081738
EscOx36B1_rough_SWIR.hdr                   0.827066  0.027615  1.088282
EscOx37B1_rough_SWIR.hdr                   0.886947  0.061250  1.159104
EscOx38B1_rough_SWIR.hdr                   0.863937  0.055851  1.161203
EscOx39B1_rough_SWIR.hdr                   0.920223  0.073182  1.188321
EscOx40B1_rough_SWIR.hdr                   0.709612  0.027569  1.090683
EscOx41B1_rough_SWIR.hdr                   0.688997  0.047776  1.099555
EscSulf01_Backside_SWIR_Subset_Masked.hdr  1.000118  0.141307  1.441334
EscSulf02_Backside_SWIR_Subset_Masked.hdr  1.022131  0.179624  1.442434
EscSulf03_Backside_SWIR_Subset_Masked.hdr  0.932550  0.111016  1.321368
EscSulf04_Backside_SWIR_Subset_Masked.hdr  0.905073  0.109975  1.327170
EscSulf08_Backside_SWIR_Subset_Masked.hdr  0.920314  0.109691  1.331646
EscSulf09_Backside_SWIR_Subset_Masked.hdr  0.831348  0.070609  1.149194
EscSulf10_Backside_SWIR_Subset_Masked.hdr  0.984822  0.119078  1.279341
EscSulf11_Backside_SWIR_Subset_Masked.hdr  0.786871  0.079564  1.224709
EscSulf12_Backside_SWIR_Subset_Masked.hdr  0.867867  0.050749  1.146526
EscSulf13_Backside_SWIR_Subset_Masked.hdr  0.931032  0.124564  1.325648
EscSulf14_Backside_SWIR_Subset_Masked.hdr  0.741136  0.094658  1.227228
