                                                 AS       SAI        AD
EscOx01B1_rough_SWIR.hdr                   0.034560  1.108388  0.084568
EscOx02B1_rough_SWIR.hdr                   0.068247  1.155587  0.106850
EscOx03B1_rough_SWIR.hdr                   0.161970  1.148663  0.124002
EscOx04B1_rough_SWIR.hdr                   0.050398  1.125008  0.079587
EscOx05B1_rough_SWIR.hdr                   0.091230  1.087946  0.076011
EscOx06B1_rough_SWIR.hdr                   0.169571  1.250342  0.156387
EscOx07B1_rough_SWIR.hdr                   0.087128  1.160661  0.118688
EscOx08B1_rough_SWIR.hdr                   0.154370  1.155510  0.109091
EscOx09B1_rough_SWIR.hdr                   0.094984  1.092266  0.109648
EscOx10B1_rough_SWIR.hdr                   0.154169  1.207828  0.128759
EscOx11B1_rough_SWIR.hdr                   0.088167  1.075095  0.058031
EscOx12B1_rough_SWIR.hdr                   0.151654  1.162970  0.090164
EscOx13B1_rough_SWIR.hdr                   0.041230  1.082628  0.059046
EscOx14B1_rough_SWIR.hdr                   0.133473  1.209110  0.102237
EscOx15B1_rough_SWIR.hdr                   0.037130  1.139298  0.126122
EscOx16B1_rough_SWIR.hdr                   0.112257  1.093288  0.084763
EscOx17B1_rough_SWIR.hdr                   0.127029  1.077523  0.104041
EscOx18B1_rough_SWIR.hdr                   0.298014  1.332908  0.145620
EscOx19B1_rough_SWIR.hdr                   0.144026  1.191783  0.105958
EscOx20B1_rough_SWIR.hdr                   0.007860  1.033780  0.031640
EscOx21B1_rough_SWIR.hdr                   0.020175  1.034581  0.045133
EscOx22B1_rough_SWIR.hdr                   0.130003  1.168283  0.111741
EscOx23B1_rough_SWIR.hdr                   0.287433  1.332851  0.180443
EscOx24B1_rough_SWIR.hdr                   0.117148  1.232634  0.130047
EscOx25B1_rough_SWIR.hdr                   0.105516  1.182171  0.138681
EscOx26B1_rough_SWIR.hdr                   0.152802  1.185551  0.145407
EscOx27B1_rough_SWIR.hdr                   0.009864  1.046041  0.070403
EscOx28B1_rough_SWIR.hdr                   0.056121  1.084411  0.091416
EscOx29B1_rough_SWIR.hdr                   0.215003  1.315736  0.151562
EscOx30B1_rough_SWIR.hdr                   0.010023  1.022339  0.066126
EscOx31B1_rough_SWIR.hdr                   0.152390  1.174222  0.143125
EscOx32B1_rough_SWIR.hdr                   0.038925  1.151929  0.096587
EscOx33B1_rough_SWIR.hdr                   0.303020  1.395975  0.220548
EscOx34B1_rough_SWIR.hdr                   0.137629  1.215570  0.148410
EscOx35B1_rough_SWIR.hdr                   0.026713  1.069153  0.030885
EscOx36B1_rough_SWIR.hdr                   0.007894  1.043839  0.047515
EscOx37B1_rough_SWIR.hdr                   0.088479  1.132498  0.112428
EscOx38B1_rough_SWIR.hdr                   0.096334  1.136618  0.117853
EscOx39B1_rough_SWIR.hdr                   0.135787  1.157031  0.122510
EscOx40B1_rough_SWIR.hdr                   0.008058  1.021130  0.052227
EscOx41B1_rough_SWIR.hdr                   0.033208  1.041351  0.081521
EscSulf01_Backside_SWIR_Subset_Masked.hdr  0.278241  1.544428  0.202966
EscSulf02_Backside_SWIR_Subset_Masked.hdr  0.266050  1.561839  0.245975
EscSulf03_Backside_SWIR_Subset_Masked.hdr  0.279428  1.441971  0.175937
EscSulf04_Backside_SWIR_Subset_Masked.hdr  0.274673  1.459177  0.174181
EscSulf08_Backside_SWIR_Subset_Masked.hdr  0.278586  1.487447  0.174195
EscSulf09_Backside_SWIR_Subset_Masked.hdr  0.240111  1.242511  0.114510
EscSulf10_Backside_SWIR_Subset_Masked.hdr  0.248139  1.422467  0.205013
EscSulf11_Backside_SWIR_Subset_Masked.hdr  0.280462  1.352311  0.119941
EscSulf12_Backside_SWIR_Subset_Masked.hdr  0.172725  1.187070  0.085298
EscSulf13_Backside_SWIR_Subset_Masked.hdr  0.282811  1.415525  0.189937
EscSulf14_Backside_SWIR_Subset_Masked.hdr  0.270535  1.410656  0.164819
EscSulf15_Backside_SWIR_Subset_Masked.hdr  0.297217  1.405584  0.141546
EscSulf16_Backside_SWIR_Subset_Masked.hdr  0.270228  1.345400  0.148111
EscSulf18_Backside_SWIR_Subset_Masked.hdr  0.270570  1.376422  0.182598
EscSulf20_Backside_SWIR_Subset_Masked.hdr  0.249807  1.285383  0.123794
EscSulf22_Backside_SWIR_Subset_Masked.hdr  0.243771  1.396430  0.160125
EscSulf25_Backside_SWIR_Subset_Masked.hdr  0.261287  1.393808  0.160972
EscSulf27_Backside_SWIR_Subset_Masked.hdr  0.181185  1.264093  0.084000
EscSulf30_Backside_SWIR_Subset_Masked.hdr  0.256401  1.470834  0.210615
EscSulf31_Backside_SWIR_Subset_Masked.hdr  0.266662  1.512442  0.203066
EscSulf32_Backside_SWIR_Subset_Masked.hdr  0.285871  1.437994  0.166816
EscSulf33_Backside_SWIR_Subset_Masked.hdr  0.302560  1.433710  0.185141
EscSulf35_Backside_SWIR_Subset_Masked.hdr  0.311019  1.252272  0.074344
EscSulf37_Backside_SWIR_Subset_Masked.hdr  0.094200  1.335534  0.097297
EscSulf39_Backside_SWIR_Subset_Masked.hdr  0.265588  1.482637  0.223558
EscSulf42_Backside_SWIR_Subset_Masked.hdr  0.268492  1.482110  0.219760
EscSulf44_Backside_SWIR_Subset_Masked.hdr  0.279719  1.385836  0.152035
EscSulf45_Backside_SWIR_Subset_Masked.hdr  0.266400  1.353142  0.136889
EscSulf46_Backside_SWIR_Subset_Masked.hdr  0.287798  1.379297  0.166235
EscSulf48_Backside_SWIR_Subset_Masked.hdr  0.270322  1.503815  0.212196
EscSulf49_Backside_SWIR_Subset_Masked.hdr  0.286526  1.455499  0.210021
EscSulf50_Backside_SWIR_Subset_Masked.hdr  0.236808  1.341433  0.115772
EscSulf51_Backside_SWIR_Subset_Masked.hdr  0.294842  1.415238  0.143511
EscSulf54_Backside_SWIR_Subset_Masked.hdr  0.248963  1.423127  0.157283
EscSulf55_Backside_SWIR_Subset_Masked.hdr  0.205765  1.421221  0.165922
EscSulf57_Backside_SWIR_Subset_Masked.hdr  0.281322  1.430389  0.155984
EscSulf58_Backside_SWIR_Subset_Masked.hdr  0.252304  1.467060  0.195903
EscSulf59_Backside_SWIR_Subset_Masked.hdr  0.295809  1.436210  0.135151
EscSulf62_Backside_SWIR_Subset_Masked.hdr  0.211334  1.312400  0.079596
		bands: 2050 - 2250
