fileName			AA			AD			AP			AS			AW			SAI
1				21.673189			0.701403			1426.080000			0.697344			84.000000			1.155236
2				23.579636			0.763430			1426.080000			0.633932			96.000000			1.238978
3				20.239169			0.669056			1426.080000			0.661377			84.000000			1.171218
4				24.465257			0.787434			1426.080000			0.634123			102.000000			1.237033
5				23.296084			0.755358			1426.080000			0.480126			84.000000			1.212987
6				20.142493			0.705948			1426.080000			0.747224			78.000000			1.346782
7				19.357336			0.631989			1426.080000			0.636421			90.000000			1.140223
8				23.120626			0.760840			1426.080000			0.651295			84.000000			1.275345
9				22.809975			0.750687			1426.080000			0.435065			84.000000			1.252771
10				21.055672			0.697568			1426.080000			0.707926			96.000000			1.217093
11				25.162034			0.799393			1426.080000			0.635617			84.000000			1.191852
12				24.807056			0.802168			1426.080000			0.639336			84.000000			1.262116
13				25.322824			0.804425			1426.080000			0.632832			84.000000			1.203935
14				23.699588			0.763091			1426.080000			0.698720			84.000000			1.191759
15				23.573001			0.772178			1426.080000			0.640367			102.000000			1.274175
16				23.525926			0.761118			1426.080000			0.643935			84.000000			1.215854
17				21.700668			0.704093			1426.080000			0.649844			84.000000			1.168214
18				21.613483			0.724799			1426.080000			0.443251			78.000000			1.264428
19				22.321372			0.723975			1426.080000			0.694571			96.000000			1.190744
20				27.364779			0.846963			1426.080000			0.615584			102.000000			1.125873
21				24.249281			0.778148			1426.080000			0.424748			84.000000			1.213427
22				21.870996			0.713970			1426.080000			0.701028			102.000000			1.195597
23				19.611729			0.661462			1426.080000			0.658360			84.000000			1.202574
24				19.730385			0.673652			1426.080000			0.740054			78.000000			1.205400
25				19.026130			0.653554			1426.080000			0.731916			102.000000			1.241725
26				18.382108			0.630587			1426.080000			0.724202			96.000000			1.226953
27				25.174376			0.808757			1426.080000			0.632531			102.000000			1.260432
28				20.625469			0.670755			1426.080000			0.643997			84.000000			1.150135
29				23.072861			0.770188			1426.080000			0.643672			90.000000			1.347976
30				23.618309			0.760299			1426.080000			0.426572			84.000000			1.197786
31				18.964377			0.656536			1426.080000			0.745260			78.000000			1.260311
32				25.214506			0.810858			1426.080000			0.633648			78.000000			1.267611
33				16.833289			0.599959			1426.080000			0.762702			84.000000			1.221425
34				20.521994			0.717584			1426.080000			0.757580			78.000000			1.367153
35				28.327659			0.875069			1426.080000			0.615597			84.000000			1.138028
36				25.663957			0.812525			1426.080000			0.630803			84.000000			1.198875
37				20.491163			0.684988			1426.080000			0.718061			84.000000			1.218846
38				20.486781			0.678803			1426.080000			0.647299			102.000000			1.199930
39				20.424502			0.684386			1426.080000			0.724672			78.000000			1.218403
40				25.089639			0.798783			1426.080000			0.634558			84.000000			1.214695
41				22.065532			0.738631			1426.080000			0.391014			84.000000			1.284322
42				19.904640			0.644526			1426.080000			0.587321			84.000000			1.103228
43				16.762541			0.569209			1426.080000			0.678262			84.000000			1.124872
44				20.306205			0.656521			1426.080000			0.642843			84.000000			1.114252
45				20.535991			0.660382			1426.080000			0.641575			84.000000			1.102360
46				20.946557			0.669291			1426.080000			0.578927			84.000000			1.096069
47				19.805216			0.631172			1426.080000			0.634729			84.000000			1.077335
48				17.145372			0.559186			1426.080000			0.591954			84.000000			1.080834
49				22.434045			0.703021			1426.080000			0.571156			84.000000			1.062570
50				23.271561			0.728400			1426.080000			0.624396			84.000000			1.086028
51				18.846747			0.615138			1426.080000			0.647676			84.000000			1.109712
52				19.804964			0.635833			1426.080000			0.583277			84.000000			1.083280
53				22.349022			0.711793			1426.080000			0.635133			84.000000			1.110159
54				19.698620			0.637430			1426.080000			0.641929			84.000000			1.102034
55				17.784827			0.579365			1426.080000			0.588886			84.000000			1.089978
56				20.310856			0.648869			1426.080000			0.635092			84.000000			1.089602
57				20.042524			0.636631			1426.080000			0.575873			84.000000			1.074975
58				20.131341			0.671159			1426.080000			0.660691			84.000000			1.176399
59				23.553737			0.742890			1426.080000			0.631674			84.000000			1.093778
60				17.673965			0.582463			1426.080000			0.595092			84.000000			1.103665
61				19.086625			0.624116			1426.080000			0.650823			84.000000			1.112542
62				20.713237			0.669051			1426.080000			0.642303			84.000000			1.117713
63				19.740752			0.640583			1426.080000			0.587855			84.000000			1.106718
64				24.493917			0.759102			1426.080000			0.564248			84.000000			1.059664
65				22.515800			0.720923			1426.080000			0.337671			90.000000			1.079815
66				16.670913			0.559880			1426.080000			0.607093			84.000000			1.110797
67				17.688878			0.596213			1426.080000			0.606682			84.000000			1.138027
68				20.678241			0.659574			1426.080000			0.577957			84.000000			1.089598
69				21.527257			0.683394			1426.080000			0.576618			84.000000			1.089292
70				19.076044			0.633865			1426.080000			0.657234			84.000000			1.143450
71				18.313422			0.609777			1426.080000			0.661764			84.000000			1.131556
72				17.792767			0.587993			1426.080000			0.656213			84.000000			1.114502
73				22.540026			0.706422			1426.080000			0.570525			84.000000			1.068362
74				21.426480			0.684363			1426.080000			0.635311			84.000000			1.099076
75				21.011507			0.678805			1426.080000			0.585350			84.000000			1.120100
76				19.401705			0.630341			1426.080000			0.594543			84.000000			1.091220
77				21.427258			0.687166			1426.080000			0.638772			84.000000			1.114829
78				18.803321			0.616309			1426.080000			0.591791			84.000000			1.113208
79				22.152742			0.711836			1426.080000			0.643227			84.000000			1.115231
80				24.192958			0.761558			1426.080000			0.576725			84.000000			1.083780
