                                                 AS       SAI        AD
EscOx01B1_rough_SWIR.hdr                   0.920522  1.116757  0.040070
EscOx02B1_rough_SWIR.hdr                   0.924312  1.155373  0.039310
EscOx03B1_rough_SWIR.hdr                   0.933255  1.166440  0.071730
EscOx04B1_rough_SWIR.hdr                   0.909562  1.157553  0.041253
EscOx05B1_rough_SWIR.hdr                   0.829513  1.104221  0.046017
EscOx06B1_rough_SWIR.hdr                   0.982747  1.291076  0.103900
EscOx07B1_rough_SWIR.hdr                   0.915858  1.113958  0.047964
EscOx08B1_rough_SWIR.hdr                   0.933902  1.191891  0.057693
EscOx09B1_rough_SWIR.hdr                   0.848766  1.175991  0.054220
EscOx10B1_rough_SWIR.hdr                   0.902057  1.175228  0.062068
EscOx11B1_rough_SWIR.hdr                   0.836524  1.104402  0.040641
EscOx12B1_rough_SWIR.hdr                   0.956857  1.219049  0.057670
EscOx13B1_rough_SWIR.hdr                   0.896010  1.102196  0.032817
EscOx14B1_rough_SWIR.hdr                   0.976356  1.223283  0.062771
EscOx15B1_rough_SWIR.hdr                   0.955070  1.220449  0.048301
EscOx16B1_rough_SWIR.hdr                   0.863638  1.126026  0.047930
EscOx17B1_rough_SWIR.hdr                   0.824805  1.119404  0.047324
EscOx18B1_rough_SWIR.hdr                   0.960118  1.285180  0.131898
EscOx19B1_rough_SWIR.hdr                   0.933555  1.163604  0.049674
EscOx20B1_rough_SWIR.hdr                   0.896843  1.054337  0.013659
EscOx21B1_rough_SWIR.hdr                   0.806512  1.061306  0.037467
EscOx22B1_rough_SWIR.hdr                   0.903525  1.153939  0.053966
EscOx23B1_rough_SWIR.hdr                   0.950793  1.305908  0.115014
EscOx24B1_rough_SWIR.hdr                   0.972187  1.243902  0.110670
EscOx25B1_rough_SWIR.hdr                   0.949402  1.196242  0.077643
EscOx26B1_rough_SWIR.hdr                   0.967642  1.189492  0.078120
EscOx27B1_rough_SWIR.hdr                   0.912858  1.135318  0.032036
EscOx28B1_rough_SWIR.hdr                   0.947703  1.108334  0.043295
EscOx29B1_rough_SWIR.hdr                   0.947364  1.313981  0.076835
EscOx30B1_rough_SWIR.hdr                   0.739178  1.093615  0.036466
EscOx31B1_rough_SWIR.hdr                   0.960283  1.214370  0.087197
EscOx32B1_rough_SWIR.hdr                   0.949592  1.203686  0.039383
EscOx33B1_rough_SWIR.hdr                   0.966650  1.362141  0.155275
EscOx34B1_rough_SWIR.hdr                   0.969538  1.272869  0.113208
EscOx35B1_rough_SWIR.hdr                   0.924300  1.079296  0.014163
EscOx36B1_rough_SWIR.hdr                   0.880269  1.087893  0.027615
EscOx37B1_rough_SWIR.hdr                   0.926493  1.158945  0.061250
EscOx38B1_rough_SWIR.hdr                   0.923170  1.161021  0.055851
EscOx39B1_rough_SWIR.hdr                   0.957074  1.188220  0.073182
EscOx40B1_rough_SWIR.hdr                   0.793413  1.090270  0.027569
EscOx41B1_rough_SWIR.hdr                   0.751806  1.099381  0.047776
