                                                SAI        AS        AD
EscOx01B1_rough_SWIR.hdr                   1.094051  0.301666  0.084568
EscOx02B1_rough_SWIR.hdr                   1.130024  0.302897  0.106850
EscOx03B1_rough_SWIR.hdr                   1.147610  0.299732  0.124002
EscOx04B1_rough_SWIR.hdr                   1.085605  0.287758  0.079587
EscOx05B1_rough_SWIR.hdr                   1.081112  0.287615  0.076011
EscOx06B1_rough_SWIR.hdr                   1.249371  0.327382  0.156387
EscOx07B1_rough_SWIR.hdr                   1.138791  0.307880  0.118688
EscOx08B1_rough_SWIR.hdr                   1.148861  0.307701  0.109091
EscOx09B1_rough_SWIR.hdr                   1.089693  0.226186  0.109648
EscOx10B1_rough_SWIR.hdr                   1.195374  0.308641  0.128759
EscOx11B1_rough_SWIR.hdr                   1.068280  0.237282  0.058031
EscOx12B1_rough_SWIR.hdr                   1.153762  0.295570  0.090164
EscOx13B1_rough_SWIR.hdr                   1.069938  0.273334  0.059046
EscOx14B1_rough_SWIR.hdr                   1.206665  0.289207  0.102237
EscOx15B1_rough_SWIR.hdr                   1.094805  0.304297  0.126122
EscOx16B1_rough_SWIR.hdr                   1.088689  0.266769  0.084763
EscOx17B1_rough_SWIR.hdr                   1.075670  0.225962  0.104041
EscOx18B1_rough_SWIR.hdr                   1.331057  0.361422  0.145620
EscOx19B1_rough_SWIR.hdr                   1.188891  0.305975  0.105958
EscOx20B1_rough_SWIR.hdr                   1.018128  0.156074  0.031640
EscOx21B1_rough_SWIR.hdr                   1.028247  0.230434  0.045133
EscOx22B1_rough_SWIR.hdr                   1.153325  0.303307  0.111741
EscOx23B1_rough_SWIR.hdr                   1.330734  0.317479  0.180443
EscOx24B1_rough_SWIR.hdr                   1.231771  0.310450  0.130047
EscOx25B1_rough_SWIR.hdr                   1.180617  0.316501  0.138681
EscOx26B1_rough_SWIR.hdr                   1.184398  0.325852  0.145407
EscOx27B1_rough_SWIR.hdr                   1.028063  0.157683  0.070403
EscOx28B1_rough_SWIR.hdr                   1.079738  0.299116  0.091416
EscOx29B1_rough_SWIR.hdr                   1.309154  0.310141  0.151562
EscOx30B1_rough_SWIR.hdr                   1.019435  0.115705  0.066126
EscOx31B1_rough_SWIR.hdr                   1.173334  0.319682  0.143125
EscOx32B1_rough_SWIR.hdr                   1.095419  0.287237  0.096587
EscOx33B1_rough_SWIR.hdr                   1.395804  0.327692  0.220548
EscOx34B1_rough_SWIR.hdr                   1.214630  0.314909  0.148410
EscOx35B1_rough_SWIR.hdr                   1.035791  0.237313  0.030885
EscOx36B1_rough_SWIR.hdr                   1.029911  0.197382  0.047515
EscOx37B1_rough_SWIR.hdr                   1.130218  0.304951  0.112428
EscOx38B1_rough_SWIR.hdr                   1.134896  0.313597  0.117853
EscOx39B1_rough_SWIR.hdr                   1.156148  0.304292  0.122510
EscOx40B1_rough_SWIR.hdr                   1.016558  0.108465  0.052227
EscOx41B1_rough_SWIR.hdr                   1.036644  0.205424  0.081521
EscSulf01_Backside_SWIR_Subset_Masked.hdr  1.539659  0.309447  0.202966
EscSulf02_Backside_SWIR_Subset_Masked.hdr  1.553261  0.316344  0.245975
EscSulf03_Backside_SWIR_Subset_Masked.hdr  1.439595  0.308232  0.175937
EscSulf04_Backside_SWIR_Subset_Masked.hdr  1.455455  0.305182  0.174181
EscSulf08_Backside_SWIR_Subset_Masked.hdr  1.484059  0.305246  0.174195
EscSulf09_Backside_SWIR_Subset_Masked.hdr  1.239363  0.315599  0.114510
EscSulf10_Backside_SWIR_Subset_Masked.hdr  1.414800  0.309578  0.205013
EscSulf11_Backside_SWIR_Subset_Masked.hdr  1.351666  0.316851  0.119941
EscSulf12_Backside_SWIR_Subset_Masked.hdr  1.183408  0.308155  0.085298
EscSulf13_Backside_SWIR_Subset_Masked.hdr  1.412999  0.308455  0.189937
EscSulf14_Backside_SWIR_Subset_Masked.hdr  1.406889  0.302973  0.164819
EscSulf15_Backside_SWIR_Subset_Masked.hdr  1.405196  0.321826  0.141546
EscSulf16_Backside_SWIR_Subset_Masked.hdr  1.342640  0.302283  0.148111
EscSulf18_Backside_SWIR_Subset_Masked.hdr  1.373391  0.307383  0.182598
EscSulf20_Backside_SWIR_Subset_Masked.hdr  1.281160  0.299698  0.123794
EscSulf22_Backside_SWIR_Subset_Masked.hdr  1.388499  0.304137  0.160125
EscSulf25_Backside_SWIR_Subset_Masked.hdr  1.388288  0.303125  0.160972
EscSulf27_Backside_SWIR_Subset_Masked.hdr  1.254881  0.335815  0.084000
EscSulf30_Backside_SWIR_Subset_Masked.hdr  1.462881  0.310152  0.210615
EscSulf31_Backside_SWIR_Subset_Masked.hdr  1.505801  0.308597  0.203066
EscSulf32_Backside_SWIR_Subset_Masked.hdr  1.435947  0.305938  0.166816
EscSulf33_Backside_SWIR_Subset_Masked.hdr  1.433627  0.315429  0.185141
EscSulf35_Backside_SWIR_Subset_Masked.hdr  1.248994  0.361011  0.074344
EscSulf37_Backside_SWIR_Subset_Masked.hdr  1.329655  0.296661  0.097297
EscSulf39_Backside_SWIR_Subset_Masked.hdr  1.476099  0.311802  0.223558
EscSulf42_Backside_SWIR_Subset_Masked.hdr  1.475979  0.311531  0.219760
EscSulf44_Backside_SWIR_Subset_Masked.hdr  1.383603  0.306772  0.152035
EscSulf45_Backside_SWIR_Subset_Masked.hdr  1.348464  0.302838  0.136889
EscSulf46_Backside_SWIR_Subset_Masked.hdr  1.377469  0.309775  0.166235
EscSulf48_Backside_SWIR_Subset_Masked.hdr  1.497826  0.310041  0.212196
EscSulf49_Backside_SWIR_Subset_Masked.hdr  1.452491  0.312593  0.210021
EscSulf50_Backside_SWIR_Subset_Masked.hdr  1.330366  0.298414  0.115772
EscSulf51_Backside_SWIR_Subset_Masked.hdr  1.414100  0.315317  0.143511
EscSulf54_Backside_SWIR_Subset_Masked.hdr  1.412861  0.303543  0.157283
EscSulf55_Backside_SWIR_Subset_Masked.hdr  1.409835  0.304267  0.165922
EscSulf57_Backside_SWIR_Subset_Masked.hdr  1.428015  0.304715  0.155984
EscSulf58_Backside_SWIR_Subset_Masked.hdr  1.458993  0.307623  0.195903
EscSulf59_Backside_SWIR_Subset_Masked.hdr  1.435674  0.311693  0.135151
EscSulf62_Backside_SWIR_Subset_Masked.hdr  1.306691  0.373898  0.079596
		bands: 2050 - 2250
